
2024/12/05 (15:16:45) | ===> btop++ v.1.4.0
2024/12/05 (15:16:45) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/05 (15:16:54) | ===> btop++ v.1.4.0
2024/12/05 (15:16:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (17:28:07) | ===> btop++ v.1.4.0
2024/12/10 (17:28:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (17:30:03) | ===> btop++ v.1.4.0
2024/12/10 (17:30:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (17:30:50) | ===> btop++ v.1.4.0
2024/12/10 (17:30:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (17:31:05) | ===> btop++ v.1.4.0
2024/12/10 (17:31:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/10 (17:32:58) | ===> btop++ v.1.4.0
2024/12/10 (17:32:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/11 (02:18:39) | ===> btop++ v.1.4.0
2024/12/11 (02:18:39) | WARNING: Failed to set locale UTF-8 continuing anyway.
